title,image,durasi,category,genre,produser,penulis,produksi,casts,sinopsis
Blackpink World Tour Born Pink In Cinemas,https://media.21cineplex.com/webcontent/gallery/pictures/171948170811447_290x426.jpg,92 Minutes,Remaja 13 Tahun Keatas,Music,Tu Sun Song,-,"CJ 4DPlex, ScreenX Studio","BLACKPINK’s JISOO, JENNIE, ROSÉ, LISA","Tur BORN PINK BLACKPINK yang memikat dunia hadir di layar lebar, merayakan ulang tahun yang ke-8 sejak debut mereka!

Menarik penonton sebanyak 1,8 juta dan memecahkan rekor global untuk tur konser grup perempuan, rasakan energi live performance di bioskop di seluruh dunia!

Menampilkan set ikonik 'Hanok' yang telah memukau penggemar dan pers di seluruh dunia, film ini menunjukkan skala produksi yang belum pernah terjadi sebelumnya, menyajikan versi aransemen eksklusif dari lagu-lagu hit BLACKPINK yang unik untuk konser ini dan menghadirkan penampilan dari Gocheok Dome Seoul serta cuplikan dari kota-kota lain di seluruh tur. 

Bergabunglah bersama kami untuk semua momen menggembirakan, yang ditayangkan perdana di lebih dari 110 negara, menandai pertama kalinya bagi grup K-POP Perempuan."
Twisters (IMAX 2D),https://media.21cineplex.com/webcontent/gallery/pictures/171922178012807_290x426.jpg,122 Minutes,Remaja 13 Tahun Keatas,"Action, Adventure","Patrick Crowley, Frank Marshall",Mark L. Smith,Warner Bros. Pictures,"Glen Powell, Daisy Edgar-Jones, Maura Tierney, Kiernan Shipka, Katy O'Brian, David Corenswet, Anthony Ramos, Sasha Lane, Paul Scheer, Daryl McCormack, Brandon Perea",Tyler Owens (Glen Powell) dan Kate Cooper (Daisy Edgar-Jones) adalah peneliti badai dan pemburu badai yang mempertaruhkan nyawa mereka dalam upaya menguji sistem peringatan untuk bisa menanggulangi badai yang sering kali terjadi di Oklahoma.
Twisters,https://media.21cineplex.com/webcontent/gallery/pictures/171922168412740_290x426.jpg,122 Minutes,Remaja 13 Tahun Keatas,"Action, Adventure","Patrick Crowley, Frank Marshall",Mark L. Smith,Warner Bros. Pictures,"Glen Powell, Daisy Edgar-Jones, Maura Tierney, Kiernan Shipka, Katy O'Brian, David Corenswet, Anthony Ramos, Sasha Lane, Paul Scheer, Daryl McCormack, Brandon Perea",Tyler Owens (Glen Powell) dan Kate Cooper (Daisy Edgar-Jones) adalah peneliti badai dan pemburu badai yang mempertaruhkan nyawa mereka dalam upaya menguji sistem peringatan untuk bisa menanggulangi badai yang sering kali terjadi di Oklahoma.
The Exorcism,https://media.21cineplex.com/webcontent/gallery/pictures/171818351464876_290x426.jpg,95 Minutes,Dewasa 17 Tahun Keatas,"Horror, Thriller","Bill Block, Ben Fast, Kevin Williamson","M.A. Fortin, Joshua John Miller",Miramax,"Russell Crowe, Ryan Simpkins, Sam Worthington, Chloe Bailey, Adam Goldberg, Adrian Pasdar, David Hyde Pierce, Tracey Bonner, Marcenae Lynette, Joshua John Miller",Anthony Miller (Russell Crowe) aktor senior yang sedang bermasalah mulai menunjukkan prilaku aneh saat terlibat dalam produksi film horor. Lee Miller (Ryan Simpkins) putrinya bingung apakah sang ayah kembali ke kecanduan masa lalu atau ada sesuatu yang lebih jahat yang sedang terjadi.
Kalki 2898 AD,https://media.21cineplex.com/webcontent/gallery/pictures/171921603696425_290x426.jpg,180 Minutes,SEMUA UMUR,"Action, Sci-Fi","Aswini Dutt, Swapna Dutt, Priyanka Dutt",Kotagiri Venkatesawara Rao,Vyjayanthi Movies,"Prabhas, Deepikia Padukone, Amitabh Bachchan, Disha Patani, Kamal Haasan","Pada tahun 2898 M, di kota Kasi yang sepi, sekarang menjadi satu-satunya kota yang ada di dunia, diperintah oleh elit totaliter, dipimpin oleh Supreme Yaskin (Kamal Hasaan), dengan megastruktur piramida terbalik melayang di atas kota yang dikenal sebagai Complex. Berlatar belakang mitologi India dan masyarakat distopia, kisah ini mengisahkan perjalanan selama ribuan tahun, mulai dari peristiwa Mahabharata pada tahun 3102 SM, permulaan Kali Yuga, hingga tahun 2898 M, munculnya Avatar modern dewa Hindu Wisnu, dikatakan turun ke Bumi untuk melindungi dunia dari kekuatan jahat."
Despicable Me 4 (IMAX 2D),https://media.21cineplex.com/webcontent/gallery/pictures/171776024249855_290x426.jpg,94 Minutes,SEMUA UMUR,"Animation, Comedy","Chris Meledandri, Brett Hoffman","Ken Daurio, Mike White",Universal Pictures,"Steve Carell, Kristen Wiig, Joey King, Will Ferrell, Sofia Vergara, Miranda Cosgrove, Dana Gaier, Madison Skyy Polan, Pierre Coffin, Steve Coogan, Stephen Colbert, Chloe Fineman","Gru, Lucy, Margo, Edith, dan Agnes siap menyambut anggota baru di keluarga. Di tengah kebahagiaan, Gru harus menghadapi penjahat bernama Maxime Le Mal yang berniat membalas dendam kepada Gru. Apakah Gru bisa menyelamatkan keluarga kecilnya?"
Despicable Me 4,https://media.21cineplex.com/webcontent/gallery/pictures/171767109789231_290x426.jpg,94 Minutes,SEMUA UMUR,"Animation, Comedy","Chris Meledandri, Brett Hoffman","Ken Daurio, Mike White",Universal Pictures,"Steve Carell, Kristen Wiig, Joey King, Will Ferrell, Sofia Vergara, Miranda Cosgrove, Dana Gaier, Madison Skyy Polan, Pierre Coffin, Steve Coogan, Stephen Colbert, Chloe Fineman","Gru, Lucy, Margo, Edith, dan Agnes siap menyambut anggota baru di keluarga. Di tengah kebahagiaan, Gru harus menghadapi penjahat bernama Maxime Le Mal yang berniat membalas dendam kepada Gru. Apakah Gru bisa menyelamatkan keluarga kecilnya?"
Despicable Me 4 (3D),https://media.21cineplex.com/webcontent/gallery/pictures/171767109789231_290x426.jpg,94 Minutes,SEMUA UMUR,"Animation, Comedy","Chris Meledandri, Brett Hoffman","Ken Daurio, Mike White",Universal Pictures,"Steve Carell, Kristen Wiig, Joey King, Will Ferrell, Sofia Vergara, Miranda Cosgrove, Dana Gaier, Madison Skyy Polan, Pierre Coffin, Steve Coogan, Stephen Colbert, Chloe Fineman","Gru, Lucy, Margo, Edith, dan Agnes siap menyambut anggota baru di keluarga. Di tengah kebahagiaan, Gru harus menghadapi penjahat bernama Maxime Le Mal yang berniat membalas dendam kepada Gru. Apakah Gru bisa menyelamatkan keluarga kecilnya?"
Janji Darah,https://media.21cineplex.com/webcontent/gallery/pictures/171810762330045_290x426.jpg,104 Minutes,Remaja 13 Tahun Keatas,"Drama, Horor","Agung Haryanto, Mala Shinta, Rissa Putri",Jujur Prananto,Max Pictures,"Natasya Wilona, Emir Mahira, Fergie Brittany, Djenar Maesa Ayu, Shabrina Luna, Yatti Surachman, Abirama Putra","Sheren (Natasya Wilona) dan Rayhan (Emir Mahira) adalah pasutri muda yang sedang berbahagia, setahun menikah akhirnya Sheren dinyatakan positif hamil. Namun ketentraman rumah mereka mulai terganggu oleh teror mahluk halus. Rayhan yang dari kecil memiliki kemampuan melihat mahluk halus, kali ini tidak bisa mengetahui siapa yang mengganggu rumah mereka.

Semua teror tersebut ditujukan kepada Sheren, akhirnya dengan bantuan Tyas (Shabrina Luna), teman kantornya, Sheren meminta bantuan Om Kasman (Kiki Narendra), orang pintar yang masih kerabat dekat Tyas untuk mengusir gangguan tersebut. Alhasil Om Kasman meninggal saat pulang dari rumah Sheren. Rayhan berusaha mencari tahu siapa yang mengganggu Istrinya, ternyata itu ulah Dinda (Fergie Brittany), saudara sepupunya yang sudah meninggal. Dan sebuah Janji Darah dimasa kecil harus ditepati."
A Quiet Place: Day One,https://media.21cineplex.com/webcontent/gallery/pictures/171758557679390_290x426.jpg,99 Minutes,Remaja 13 Tahun Keatas,"Thriller, Sci-Fi","Michael Bay, Andrew Form, Brad Fuller, John Krasinski","Michael Sarnoski, John Krasinski",Paramount Pictures,"Joseph Quinn, Djimon Hounsou, Alex Wolff, Lupita Nyong'o, Thea Butler, Jennifer Woodward, Zay Domo Artist, Malik Jubal, Elijah Ungvary","Kisah awal mula kehancuran. Hari pertama kenapa dunia menjadi sunyi!

Sam (Lupita Nyong'o) berusaha selamat dari invasi makhluk asing dengan pendengaran ultrasonik yang menyerang New York."
